Warehouse,Location,PartLocationNo,StatusDescription,Low Level,Mid_Level,High_Level,Total PartNo,ProgramID
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AH.01.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,1,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AH.04.03D,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AH.06.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,5,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AK.02.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,11,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AK.05.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,2,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AK.08.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AM.03.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,6,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AM.03.02E,RECEIVED,ENG Hold,HOLD,ARB Hold,3,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AM.04.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,3,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AM.04.01E,RECEIVED,ENG Hold,HOLD,ARB Hold,1,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AM.09.02E,RECEIVED,ENG Hold,HOLD,ARB Hold,5,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AM.09.03E,RECEIVED,ENG Hold,HOLD,ARB Hold,46,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AM.11.03E,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AM.12.01E,RECEIVED,ENG Hold,HOLD,ARB Hold,5,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.01B,RECEIVED,ENG Hold,HOLD,ARB Hold,10,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.01C,RECEIVED,ENG Hold,HOLD,ARB Hold,4,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.01D,RECEIVED,ENG Hold,HOLD,ARB Hold,9,10053
ENGHOLD,DELL - MEMPHIS,ENGHOLD.ARB.AN.01.01E,RECEIVED,ENG Hold,HOLD,ARB Hold,3,10053
